,회사,Date,지표,lag_0,lag_0_reverse,corr,index,영문명,구분,단위
6,accenture,2011-11-01,EPS,0.80127926,4.97409E-06,0.767943538,2,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,수익성,"지배, Adj._원/주"
7,accenture,2011-11-01,EPS증가율,0.019788238,0.182365627,-0.164095226,1,,성장성,YoY_비율
8,accenture,2011-11-01,Free Cash Flow2,0.735587667,0.041297285,0.266602114,2,CF_Free Cash Flow,수익성,천원
9,accenture,2011-11-01,ROA,0.628420137,0.898805024,0.438550086,3,"Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",수익성,비율
10,accenture,2011-11-01,ROE,0.586238809,0.937725369,0.288172413,3,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM",수익성,지배_비율
1,accenture,2011-11-01,BPS증가율,0.51966498,0.940554728,0.223501408,3,,성장성,YoY_비율
12,accenture,2011-11-01,target,0.674961384,0.442005215,-0.090549284,3,,,
13,accenture,2011-11-01,당기순이익,0.668275251,5.69895E-05,0.838460586,2,IS_Net Income,수익성,천원
14,accenture,2011-11-01,매입채무회전율,0.77135799,0.205225532,0.372769889,3,매입채무회전율,활동성,비율
15,accenture,2011-11-01,매출액,0.06429954,0.000138458,0.922089025,2,IS_Revenue,성장성,천원
16,accenture,2011-11-01,매출액증가율,0.857762971,0.621268957,-0.257289885,3,,성장성,YoY_연도
17,accenture,2011-11-01,매출원가,0.067309926,0.000260307,0.908687589,2,IS_Cost of Revenue,성장성,천원
18,accenture,2011-11-01,매출채권회전율,0.523193913,0.279663404,0.171394309,3,매출채권회전율,활동성,비율
19,accenture,2011-11-01,매출총이익,0.332030655,0.000540633,0.888719845,2,IS_Gross Profit,수익성,천원
11,accenture,2011-11-01,ROIC,0.30767462,0.119516338,0.600145981,3,"Return on Invested Capital - %, TTM",수익성,%
66,accenture,2012-02-01,비유동비율,0.881169267,0.51685709,-0.517368423,3,,안정성,비율
73,accenture,2012-02-01,영업이익증가율,0.928219144,0.796272623,0.20240291,3,,성장성,YoY_연도
72,accenture,2012-02-01,영업이익률,0.823204557,0.144775862,0.288107788,3,Operating Margin - %,수익성,비율
71,accenture,2012-02-01,영업이익,0.624836941,9.40026E-07,0.711680415,2,IS_Operating Income,수익성,천원
67,accenture,2012-02-01,비유동자산,0.338792508,0.025697045,0.893470955,2,,안정성,천원
69,accenture,2012-02-01,순이익률,0.995904877,4.73205E-05,0.619003053,2,Net Margin - %,수익성,비율
68,accenture,2012-02-01,순부채,0.019677015,0.064460434,-0.890931508,1,BS_Net Debt Incl. Pref.Stock & Min.Interest,안정성,천원
74,accenture,2012-02-01,운전자본증감,0.189492873,0.042493571,-0.438091799,2,CF_Changes in Working Capital,안정성,천원
70,accenture,2012-02-01,순이익증가율,0.018399586,0.174982125,-0.168172657,1,,성장성,YoY_연도
75,accenture,2012-02-01,유동비율,0.357585457,0.660003034,0.307127561,3,Current Ratio,안정성,비율
80,accenture,2012-02-01,자기자본비율,0.26862946,0.096772595,0.783863494,3,자기자본비율,안정성,비율
77,accenture,2012-02-01,이익잉여금,0.014146351,0.702886135,0.93095263,1,BS_Retained Earnings (Accumulated Deficit),수익성,천원
78,accenture,2012-02-01,이자발생부채,0.720980734,0.354668984,-0.630894945,3,,안정성,천원
79,accenture,2012-02-01,이자보상율,0.049686623,0.830117173,0.10913293,1,이자보상율,안정성,배
81,accenture,2012-02-01,자본,0.029920077,0.026919912,0.911046453,0,BS_Common Stock,안정성,천원
82,accenture,2012-02-01,자산총계,0.025311065,0.041100547,0.929866273,0,BS_Total Assets,안정성,천원
83,accenture,2012-02-01,재고자산회전율,0.083967292,0.045775457,-0.747145417,2,,활동성,비율
84,accenture,2012-02-01,총자산회전율,0.054768987,0.846973979,0.191999153,3,"Asset Turnover, TTM",활동성,비율
85,accenture,2012-02-01,현금배당성향,0.692338221,0.013045939,0.28729517,2,Dividend Payout Ratio - %,수익성,%
76,accenture,2012-02-01,유동자산,0.011539041,0.034370472,0.928010777,0,BS_Total Current Assets,안정성,천원
65,accenture,2012-02-01,부채총계,0.035603035,0.03345846,0.928849069,0,BS_Total Liabilities,안정성,천원
53,accenture,2012-02-01,ROE,0.569681934,0.809646578,0.278604735,3,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM",수익성,지배_비율
63,accenture,2012-02-01,매출총이익률,0.327580042,0.375057553,-0.34061675,3,Gross Profit Margin - %,수익성,비율
64,accenture,2012-02-01,부채비율,0.994228931,0.333281756,-0.57406805,3,부채비율,안정성,비율
44,accenture,2012-02-01,BPS증가율,0.528211533,0.987415188,0.214432375,3,,성장성,YoY_비율
45,accenture,2012-02-01,CAPEX,0.423725659,0.086469152,-0.079109155,3,Capital Expenditures - Net - Cash Flow,성장성,천원
46,accenture,2012-02-01,EBITDA2,0.544359728,3.20069E-06,0.789985305,2,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",수익성,천원
47,accenture,2012-02-01,EBITDA2마진율,0.927355535,0.089221653,0.308557799,3,EBITDA Margin - %,수익성,비율
48,accenture,2012-02-01,EBITDA2증가율,0.249110025,0.700870614,0.185229471,3,,성장성,YoY_연도
49,accenture,2012-02-01,EPS,0.82152982,2.10333E-06,0.783711714,2,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,수익성,"지배, Adj._원/주"
50,accenture,2012-02-01,EPS증가율,0.01810729,0.17467053,-0.166199934,1,,성장성,YoY_비율
51,accenture,2012-02-01,Free Cash Flow2,0.641040235,0.052367517,0.257718822,3,CF_Free Cash Flow,수익성,천원
52,accenture,2012-02-01,ROA,0.652829015,0.866529417,0.442804098,3,"Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",수익성,비율
43,accenture,2012-02-01,BPS,0.18805912,0.437464253,-0.37997089,3,주가순자산비율_from_BPS,안정성,"지배, Adj._원/주"
54,accenture,2012-02-01,ROIC,0.316303116,0.139548713,0.599164842,3,"Return on Invested Capital - %, TTM",수익성,%
61,accenture,2012-02-01,매출채권회전율,0.499238619,0.291925205,0.165172052,3,매출채권회전율,활동성,비율
60,accenture,2012-02-01,매출원가,0.067772669,0.000740406,0.91404744,2,IS_Cost of Revenue,성장성,천원
59,accenture,2012-02-01,매출액증가율,0.82562023,0.862805962,-0.221401439,3,,성장성,YoY_연도
62,accenture,2012-02-01,매출총이익,0.326897508,0.000863254,0.894581525,2,IS_Gross Profit,수익성,천원
57,accenture,2012-02-01,매입채무회전율,0.734599885,0.166078869,0.405160071,3,매입채무회전율,활동성,비율
56,accenture,2012-02-01,당기순이익,0.688303451,3.48446E-05,0.851392447,2,IS_Net Income,수익성,천원
55,accenture,2012-02-01,target,0.721931274,0.266537961,-0.0959465,3,,,
58,accenture,2012-02-01,매출액,0.06418067,0.000543187,0.926322963,2,IS_Revenue,성장성,천원
117,accenture,2012-05-01,운전자본증감,0.182946441,0.063448431,-0.414110689,3,CF_Changes in Working Capital,안정성,천원
110,accenture,2012-05-01,비유동자산,0.335646408,0.045231544,0.900618807,2,,안정성,천원
111,accenture,2012-05-01,순부채,0.018104206,0.06096697,-0.90170527,1,BS_Net Debt Incl. Pref.Stock & Min.Interest,안정성,천원
112,accenture,2012-05-01,순이익률,0.997881908,2.05789E-05,0.630219556,2,Net Margin - %,수익성,비율
113,accenture,2012-05-01,순이익증가율,0.016790848,0.170461941,-0.168159157,1,,성장성,YoY_연도
114,accenture,2012-05-01,영업이익,0.630433673,1.6073E-07,0.734430793,2,IS_Operating Income,수익성,천원
115,accenture,2012-05-01,영업이익률,0.825491531,0.083876757,0.297501004,3,Operating Margin - %,수익성,비율
116,accenture,2012-05-01,영업이익증가율,0.922443614,0.846720724,0.201880958,3,,성장성,YoY_연도
118,accenture,2012-05-01,유동비율,0.349710687,0.660317364,0.341098759,3,Current Ratio,안정성,비율
123,accenture,2012-05-01,자기자본비율,0.263482644,0.132520211,0.792526463,3,자기자본비율,안정성,비율
120,accenture,2012-05-01,이익잉여금,0.012889217,0.757597291,0.938481515,1,BS_Retained Earnings (Accumulated Deficit),수익성,천원
121,accenture,2012-05-01,이자발생부채,0.711778905,0.350888843,-0.628670487,3,,안정성,천원
122,accenture,2012-05-01,이자보상율,0.079249994,0.278303884,0.232175458,3,이자보상율,안정성,배
109,accenture,2012-05-01,비유동비율,0.886476631,0.504885548,-0.519412303,3,,안정성,비율
124,accenture,2012-05-01,자본,0.027988813,0.029521995,0.919290547,0,BS_Common Stock,안정성,천원
125,accenture,2012-05-01,자산총계,0.024034009,0.055585139,0.935443252,1,BS_Total Assets,안정성,천원
126,accenture,2012-05-01,재고자산회전율,0.079685834,0.054267252,-0.761969031,3,,활동성,비율
127,accenture,2012-05-01,총자산회전율,0.05175422,0.821299943,0.185715037,3,"Asset Turnover, TTM",활동성,비율
128,accenture,2012-05-01,현금배당성향,0.683679436,0.00345088,0.352907011,2,Dividend Payout Ratio - %,수익성,%
119,accenture,2012-05-01,유동자산,0.010741234,0.039739936,0.934059461,0,BS_Total Current Assets,안정성,천원
108,accenture,2012-05-01,부채총계,0.03729553,0.037788754,0.933774711,0,BS_Total Liabilities,안정성,천원
96,accenture,2012-05-01,ROE,0.561268198,0.879375599,0.279040458,3,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM",수익성,지배_비율
106,accenture,2012-05-01,매출총이익률,0.32329258,0.51021815,-0.311676181,3,Gross Profit Margin - %,수익성,비율
87,accenture,2012-05-01,BPS증가율,0.526187237,0.994483379,0.208797735,3,,성장성,YoY_비율
88,accenture,2012-05-01,CAPEX,0.41563515,0.049607992,-0.114924189,2,Capital Expenditures - Net - Cash Flow,성장성,천원
89,accenture,2012-05-01,EBITDA2,0.553313253,6.96878E-07,0.807679644,2,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",수익성,천원
90,accenture,2012-05-01,EBITDA2마진율,0.931543398,0.050367854,0.317914594,3,EBITDA Margin - %,수익성,비율
91,accenture,2012-05-01,EBITDA2증가율,0.242345943,0.642360401,0.191379131,3,,성장성,YoY_연도
92,accenture,2012-05-01,EPS,0.825350659,6.86869E-07,0.800857913,2,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,수익성,"지배, Adj._원/주"
93,accenture,2012-05-01,EPS증가율,0.016515941,0.170321718,-0.165964753,1,,성장성,YoY_비율
94,accenture,2012-05-01,Free Cash Flow2,0.632960165,0.020810068,0.311606043,2,CF_Free Cash Flow,수익성,천원
95,accenture,2012-05-01,ROA,0.653499241,0.84230513,0.446907453,3,"Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",수익성,비율
86,accenture,2012-05-01,BPS,0.181874303,0.417266268,-0.384468967,3,주가순자산비율_from_BPS,안정성,"지배, Adj._원/주"
97,accenture,2012-05-01,ROIC,0.31846328,0.11841503,0.604979332,3,"Return on Invested Capital - %, TTM",수익성,%
105,accenture,2012-05-01,매출총이익,0.339461623,0.000319324,0.906504077,2,IS_Gross Profit,수익성,천원
104,accenture,2012-05-01,매출채권회전율,0.491111815,0.291502398,0.163584465,3,매출채권회전율,활동성,비율
103,accenture,2012-05-01,매출원가,0.071572683,0.000638323,0.92010447,2,IS_Cost of Revenue,성장성,천원
102,accenture,2012-05-01,매출액증가율,0.816408899,0.741393079,-0.228633186,3,,성장성,YoY_연도
107,accenture,2012-05-01,부채비율,0.986625488,0.332318336,-0.575176755,3,부채비율,안정성,비율
100,accenture,2012-05-01,매입채무회전율,0.729593097,0.066191415,0.462238173,3,매입채무회전율,활동성,비율
99,accenture,2012-05-01,당기순이익,0.692250802,1.62127E-05,0.864929502,2,IS_Net Income,수익성,천원
98,accenture,2012-05-01,target,0.718126591,0.320133698,-0.091868897,3,,,
101,accenture,2012-05-01,매출액,0.070602733,0.000296172,0.932943497,2,IS_Revenue,성장성,천원
152,accenture,2012-08-01,비유동비율,0.880963598,0.477359523,-0.521171952,3,,안정성,비율
153,accenture,2012-08-01,비유동자산,0.330957748,0.057560307,0.905690112,3,,안정성,천원
154,accenture,2012-08-01,순부채,0.016566967,0.038059011,-0.912901971,0,BS_Net Debt Incl. Pref.Stock & Min.Interest,안정성,천원
155,accenture,2012-08-01,순이익률,0.997977026,2.35504E-05,0.628034525,2,Net Margin - %,수익성,비율
156,accenture,2012-08-01,순이익증가율,0.015385988,0.153546744,-0.175122502,1,,성장성,YoY_연도
157,accenture,2012-08-01,영업이익,0.625487,1.02802E-07,0.742778704,2,IS_Operating Income,수익성,천원
158,accenture,2012-08-01,영업이익률,0.822033301,0.063789161,0.298231171,3,Operating Margin - %,수익성,비율
159,accenture,2012-08-01,영업이익증가율,0.923467489,0.758689879,0.189785655,3,,성장성,YoY_연도
160,accenture,2012-08-01,운전자본증감,0.179199225,0.350774829,-0.285466574,3,CF_Changes in Working Capital,안정성,천원
162,accenture,2012-08-01,유동자산,0.009976217,0.021385048,0.941492177,0,BS_Total Current Assets,안정성,천원
163,accenture,2012-08-01,이익잉여금,0.011700602,0.692951953,0.945285497,1,BS_Retained Earnings (Accumulated Deficit),수익성,천원
164,accenture,2012-08-01,이자발생부채,0.719438562,0.356648014,-0.626046373,3,,안정성,천원
171,accenture,2012-08-01,현금배당성향,0.67713702,0.004622789,0.305498965,2,Dividend Payout Ratio - %,수익성,%
166,accenture,2012-08-01,자기자본비율,0.257755875,0.191262276,0.791883189,3,자기자본비율,안정성,비율
167,accenture,2012-08-01,자본,0.025999835,0.030281748,0.92579315,0,BS_Common Stock,안정성,천원
168,accenture,2012-08-01,자산총계,0.023000176,0.033107968,0.942187922,0,BS_Total Assets,안정성,천원
169,accenture,2012-08-01,재고자산회전율,0.075583251,0.015624875,-0.791711589,2,,활동성,비율
170,accenture,2012-08-01,총자산회전율,0.050373256,0.726767115,0.169908662,3,"Asset Turnover, TTM",활동성,비율
151,accenture,2012-08-01,부채총계,0.036664092,0.016108341,0.941123945,0,BS_Total Liabilities,안정성,천원
161,accenture,2012-08-01,유동비율,0.345982911,0.500575608,0.384122563,3,Current Ratio,안정성,비율
165,accenture,2012-08-01,이자보상율,0.091252935,0.117219941,0.327258304,3,이자보상율,안정성,배
150,accenture,2012-08-01,부채비율,0.992289094,0.338595232,-0.573158675,3,부채비율,안정성,비율
148,accenture,2012-08-01,매출총이익,0.333991827,0.000378765,0.913096854,2,IS_Gross Profit,수익성,천원
149,accenture,2012-08-01,매출총이익률,0.317811116,0.55672644,-0.288055523,3,Gross Profit Margin - %,수익성,비율
129,accenture,2012-08-01,BPS,0.179711293,0.441892719,-0.380677137,3,주가순자산비율_from_BPS,안정성,"지배, Adj._원/주"
130,accenture,2012-08-01,BPS증가율,0.519335515,0.896971427,0.209862071,3,,성장성,YoY_비율
131,accenture,2012-08-01,CAPEX,0.408302305,0.011736568,-0.194942129,2,Capital Expenditures - Net - Cash Flow,성장성,천원
132,accenture,2012-08-01,EBITDA2,0.5470001,4.88831E-07,0.816675796,2,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",수익성,천원
133,accenture,2012-08-01,EBITDA2마진율,0.92913894,0.031597872,0.323385642,2,EBITDA Margin - %,수익성,비율
135,accenture,2012-08-01,EPS,0.821102218,9.09587E-07,0.803711961,2,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,수익성,"지배, Adj._원/주"
136,accenture,2012-08-01,EPS증가율,0.015127614,0.153182559,-0.173017792,1,,성장성,YoY_비율
137,accenture,2012-08-01,Free Cash Flow2,0.62616577,0.004299694,0.411675124,2,CF_Free Cash Flow,수익성,천원
134,accenture,2012-08-01,EBITDA2증가율,0.237388624,0.711263984,0.176536902,3,,성장성,YoY_연도
139,accenture,2012-08-01,ROE,0.55946955,0.847033214,0.273455836,3,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM",수익성,지배_비율
138,accenture,2012-08-01,ROA,0.647079118,0.927127868,0.439543691,3,"Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",수익성,비율
146,accenture,2012-08-01,매출원가,0.069673823,0.002287011,0.920606874,2,IS_Cost of Revenue,성장성,천원
145,accenture,2012-08-01,매출액증가율,0.815296836,0.845268498,-0.212412164,3,,성장성,YoY_연도
144,accenture,2012-08-01,매출액,0.067710225,0.001146151,0.93440673,2,IS_Revenue,성장성,천원
147,accenture,2012-08-01,매출채권회전율,0.487634488,0.328161878,0.149599071,3,매출채권회전율,활동성,비율
142,accenture,2012-08-01,당기순이익,0.686492132,3.3027E-05,0.8655286,2,IS_Net Income,수익성,천원
141,accenture,2012-08-01,target,0.713541539,0.283687251,-0.098400224,3,,,
140,accenture,2012-08-01,ROIC,0.311629735,0.119998666,0.605804113,3,"Return on Invested Capital - %, TTM",수익성,%
143,accenture,2012-08-01,매입채무회전율,0.735203106,0.090323349,0.47356519,3,매입채무회전율,활동성,비율
202,accenture,2012-11-01,영업이익증가율,0.906059468,0.787204108,0.18484857,3,,성장성,YoY_연도
195,accenture,2012-11-01,비유동비율,0.90146968,0.454171018,-0.518028186,3,,안정성,비율
196,accenture,2012-11-01,비유동자산,0.35370893,0.026108022,0.911333554,2,,안정성,천원
197,accenture,2012-11-01,순부채,0.014879416,0.070909988,-0.914889996,1,BS_Net Debt Incl. Pref.Stock & Min.Interest,안정성,천원
198,accenture,2012-11-01,순이익률,0.969156784,9.06944E-06,0.634079239,2,Net Margin - %,수익성,비율
199,accenture,2012-11-01,순이익증가율,0.013896708,0.16262361,-0.167498177,1,,성장성,YoY_연도
200,accenture,2012-11-01,영업이익,0.644132458,2.52431E-08,0.756510253,2,IS_Operating Income,수익성,천원
201,accenture,2012-11-01,영업이익률,0.831247337,0.037500143,0.302607148,2,Operating Margin - %,수익성,비율
204,accenture,2012-11-01,유동비율,0.328014647,0.573339203,0.407869879,3,Current Ratio,안정성,비율
194,accenture,2012-11-01,부채총계,0.033195157,0.060058033,0.941235016,1,BS_Total Liabilities,안정성,천원
206,accenture,2012-11-01,이익잉여금,0.010295776,0.977159387,0.949861251,1,BS_Retained Earnings (Accumulated Deficit),수익성,천원
207,accenture,2012-11-01,이자발생부채,0.68688712,0.371386199,-0.616937958,3,,안정성,천원
208,accenture,2012-11-01,이자보상율,0.119359846,0.051063074,0.413992624,3,이자보상율,안정성,배
209,accenture,2012-11-01,자기자본비율,0.281044481,0.086313711,0.798275979,3,자기자본비율,안정성,비율
210,accenture,2012-11-01,자본,0.025792117,0.017028152,0.932066589,0,BS_Common Stock,안정성,천원
211,accenture,2012-11-01,자산총계,0.021157016,0.071999906,0.944115134,1,BS_Total Assets,안정성,천원
212,accenture,2012-11-01,재고자산회전율,0.069857347,0.021350002,-0.8058288,2,,활동성,비율
213,accenture,2012-11-01,총자산회전율,0.045342397,0.732125816,0.15720407,1,"Asset Turnover, TTM",활동성,비율
214,accenture,2012-11-01,현금배당성향,0.636699143,0.0006861,0.387683486,2,Dividend Payout Ratio - %,수익성,%
205,accenture,2012-11-01,유동자산,0.008661522,0.053031405,0.943132057,1,BS_Total Current Assets,안정성,천원
193,accenture,2012-11-01,부채비율,0.963274803,0.29100176,-0.569705105,3,부채비율,안정성,비율
203,accenture,2012-11-01,운전자본증감,0.254855804,0.050625065,-0.37383516,3,CF_Changes in Working Capital,안정성,천원
191,accenture,2012-11-01,매출총이익,0.347713807,0.000258909,0.919252453,2,IS_Gross Profit,수익성,천원
173,accenture,2012-11-01,BPS증가율,0.519095288,0.915229627,0.201471473,3,,성장성,YoY_비율
174,accenture,2012-11-01,CAPEX,0.448916577,0.029352725,-0.132126633,2,Capital Expenditures - Net - Cash Flow,성장성,천원
175,accenture,2012-11-01,EBITDA2,0.564111303,2.08055E-07,0.825635347,2,"Earnings before Interest, Taxes, Depreciation & Amortization (EBITDA)",수익성,천원
176,accenture,2012-11-01,EBITDA2마진율,0.937714794,0.018572289,0.32715348,2,EBITDA Margin - %,수익성,비율
177,accenture,2012-11-01,EBITDA2증가율,0.223041459,0.699068576,0.172495099,3,,성장성,YoY_연도
178,accenture,2012-11-01,EPS,0.859820069,1.78394E-07,0.815152378,2,EPS - Diluted - excluding Extraordinary Items Applicable to Common - Total,수익성,"지배, Adj._원/주"
179,accenture,2012-11-01,EPS증가율,0.013650721,0.162257699,-0.165164404,1,,성장성,YoY_비율
180,accenture,2012-11-01,Free Cash Flow2,0.718786989,0.017283118,0.294836121,2,CF_Free Cash Flow,수익성,천원
181,accenture,2012-11-01,ROA,0.66654496,0.853456102,0.433507315,3,"Return on Average Total Assets - % (Income before Discontinued Operations & Extraordinary Items), TTM",수익성,비율
172,accenture,2012-11-01,BPS,0.167054577,0.440458764,-0.373844072,3,주가순자산비율_from_BPS,안정성,"지배, Adj._원/주"
192,accenture,2012-11-01,매출총이익률,0.331028788,0.621477083,-0.260306284,3,Gross Profit Margin - %,수익성,비율
183,accenture,2012-11-01,ROIC,0.322969595,0.122837616,0.599995668,3,"Return on Invested Capital - %, TTM",수익성,%
184,accenture,2012-11-01,target,0.708634587,0.442966278,-0.07923184,3,,,
185,accenture,2012-11-01,당기순이익,0.739030062,6.85349E-06,0.873679157,2,IS_Net Income,수익성,천원
186,accenture,2012-11-01,매입채무회전율,0.741603662,0.04990332,0.49957421,2,매입채무회전율,활동성,비율
187,accenture,2012-11-01,매출액,0.083511601,0.00064044,0.934917026,2,IS_Revenue,성장성,천원
188,accenture,2012-11-01,매출액증가율,0.793305859,0.654159217,-0.226884645,3,,성장성,YoY_연도
189,accenture,2012-11-01,매출원가,0.086155926,0.001325637,0.920167785,2,IS_Cost of Revenue,성장성,천원
190,accenture,2012-11-01,매출채권회전율,0.469374247,0.333618338,0.146797171,3,매출채권회전율,활동성,비율
182,accenture,2012-11-01,ROE,0.54087988,0.841158881,0.263248861,3,"Return on Average Common Equity - % (Income available to Common excluding Extraordinary Items), TTM",수익성,지배_비율
245,accenture,2013-02-01,영업이익증가율,0.853950008,0.801478515,0.178993575,3,,성장성,YoY_연도
244,accenture,2013-02-01,영업이익률,0.873181534,0.01025589,0.321550283,2,Operating Margin - %,수익성,비율
243,accenture,2013-02-01,영업이익,0.693109408,4.10269E-09,0.776258706,2,IS_Operating Income,수익성,천원
239,accenture,2013-02-01,비유동자산,0.419703012,0.061075654,0.911379793,3,,안정성,천원
241,accenture,2013-02-01,순이익률,0.868268135,2.72065E-07,0.686079081,2,Net Margin - %,수익성,비율
240,accenture,2013-02-01,순부채,0.026465415,0.111239718,-0.911884678,1,BS_Net Debt Incl. Pref.Stock & Min.Interest,안정성,천원
246,accenture,2013-02-01,운전자본증감,0.140532958,0.007033951,-0.490997307,2,CF_Changes in Working Capital,안정성,천원
242,accenture,2013-02-01,순이익증가율,0.016848478,0.214681335,-0.145784186,1,,성장성,YoY_연도
247,accenture,2013-02-01,유동비율,0.317244107,0.231765234,0.469701257,3,Current Ratio,안정성,비율
252,accenture,2013-02-01,자기자본비율,0.352084841,0.013227502,0.823428449,2,자기자본비율,안정성,비율
249,accenture,2013-02-01,이익잉여금,0.011266364,0.261111073,0.95543361,1,BS_Retained Earnings (Accumulated Deficit),수익성,천원
250,accenture,2013-02-01,이자발생부채,0.530160748,0.389391557,-0.60521392,3,,안정성,천원
251,accenture,2013-02-01,이자보상율,0.257920822,0.024096018,0.48574082,2,이자보상율,안정성,배
253,accenture,2013-02-01,자본,0.02787302,0.003077549,0.942394775,0,BS_Common Stock,안정성,천원
254,accenture,2013-02-01,자산총계,0.035421343,0.147832119,0.941713753,1,BS_Total Assets,안정성,천원
255,accenture,2013-02-01,재고자산회전율,0.075887059,0.017053688,-0.81894186,2,,활동성,비율
256,accenture,2013-02-01,총자산회전율,0.03555963,0.699514821,0.143230467,1,"Asset Turnover, TTM",활동성,비율
257,accenture,2013-02-01,현금배당성향,0.897224167,0.001104525,0.323752087,2,Dividend Payout Ratio - %,수익성,%
238,accenture,2013-02-01,비유동비율,0.979102963,0.352484549,-0.521384619,3,,안정성,비율
248,accenture,2013-02-01,유동자산,0.015784929,0.094966057,0.940754495,1,BS_Total Current Assets,안정성,천원
237,accenture,2013-02-01,부채총계,0.066683422,0.518314119,0.924939033,3,BS_Total Liabilities,안정성,천원
236,accenture,2013-02-01,부채비율,0.829153436,0.218055007,-0.571292955,3,부채비율,안정성,비율
235,accenture,2013-02-01,매출총이익률,0.430640206,0.55882653,-0.254459984,3,Gross Profit Margin - %,수익성,비율
216,accenture,2013-02-01,BPS증가율,0.573640137,0.992793737,0.189978072,3,,성장성,YoY_비율
